,len,url_count,evil_char,evil_word,shang
45194,-0.8212694637303899,0,0.0,0.0,-0.6753610447533077
45195,-0.9831635096669742,0,0.0,0.0,-1.26513889520182
45196,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45197,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45198,-0.7605591965041708,0,0.0,0.0,-0.9910201057289479
45199,-0.881979730956609,0,0.0,0.0,-1.1346843662746366
45200,-0.43677110463100227,0,0.0,0.0,-0.5498079725443181
45201,-0.7403224407620977,0,0.0,0.0,-0.6442106923215554
45202,-0.881979730956609,0,0.0,0.0,-1.0166250948595315
45203,-0.861742975214536,0,0.0,0.0,-0.8375857198997804
45204,1.930929317191543,0,0.2222222222222222,0.0,1.4095835399674344
45205,-0.7605591965041708,1,0.2222222222222222,0.0,-0.8578530058170558
45206,0.04891103317875058,0,0.0,0.0,-0.2094474480063781
45207,-0.8010327079883168,0,0.0,0.0,-0.8855974736690307
45208,-0.6391386620517326,0,0.0,0.0,-0.6742101694114573
45209,2.2547174090647113,1,0.4444444444444444,0.0,1.4127067725302462
45210,-0.6391386620517326,0,0.0,0.0,-0.6742101694114573
45211,-1.0438737768931934,0,0.0,0.0,-2.0236919141587295
45212,-0.861742975214536,0,0.0,0.0,-0.4117832572750398
45213,-0.9224532424407551,0,0.0,0.0,-1.3372533863494926
45214,-0.861742975214536,0,0.0,0.0,-0.8375857198997804
45215,-1.0236370211511203,0,0.0,0.0,-1.4204748882096214
45216,-0.9224532424407551,0,0.0,0.0,-0.9074110778471746
45217,-0.9224532424407551,0,0.0,0.0,-0.9074110778471746
45218,-0.7605591965041708,0,0.0,0.0,-0.885210566623678
45219,-0.7200856850200247,0,0.0,0.0,-0.36994147667690475
45220,-0.9224532424407551,0,0.0,0.0,-1.3372533863494926
45221,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45222,1.930929317191543,0,0.2222222222222222,0.0,1.4095835399674344
45223,-0.7605591965041708,1,0.2222222222222222,0.0,-0.8578530058170558
45224,0.04891103317875058,0,0.0,0.0,-0.2094474480063781
45225,-0.8010327079883168,0,0.0,0.0,-0.8855974736690307
45226,-0.6391386620517326,0,0.0,0.0,-0.6742101694114573
45227,2.2547174090647113,1,0.4444444444444444,0.0,1.4127067725302462
45228,-0.6391386620517326,0,0.0,0.0,-0.6742101694114573
45229,-1.0438737768931934,0,0.0,0.0,-2.0236919141587295
45230,-0.861742975214536,0,0.0,0.0,-0.4117832572750398
45231,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45232,-0.21416679146819886,1,0.3333333333333333,0.0,0.38671020721269167
45233,-0.33558732592063706,1,0.3333333333333333,0.0,0.04530161111270159
45234,-0.9426899981828281,0,0.0,0.0,-1.4157441575683782
45235,-1.0236370211511203,0,0.0,0.0,-1.742856619586359
45236,-0.7200856850200247,0,0.0,0.0,-0.6765192497667182
45237,-0.881979730956609,0,0.0,0.0,-0.9450480537000833
45238,-0.43677110463100227,0,0.0,0.0,-0.2654265942314809
45239,-0.295113814436491,0,0.0,0.0,1.287361970915205
45240,-0.5379548833413674,0,0.0,0.0,-0.6546344050386143
45241,-1.0034002654090473,0,0.0,0.0,-1.4919060691766672
45242,-1.0236370211511203,0,0.0,0.0,-1.4204748882096214
45243,-0.6391386620517326,0,0.0,0.0,-0.098118018721969
45244,-0.8212694637303899,0,0.0,0.0,-0.6753610447533077
45245,-0.8212694637303899,0,0.0,0.0,-0.8365519104416769
45246,-1.0034002654090473,0,0.0,0.0,-1.1988317679250875
45247,-1.0034002654090473,0,0.0,0.0,-1.7849803704282476
45248,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45249,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45250,-0.9629267539249011,0,0.0,0.0,-1.6479073137260465
45251,-0.9831635096669742,0,0.0,0.0,-1.2651388952018192
45252,-0.6391386620517326,0,0.0,0.0,0.16617316497614756
45253,-0.8212694637303899,0,0.0,0.0,-0.614520559767777
45254,0.3119888578257,1,0.7777777777777777,0.0,0.8721529934628361
45255,-0.1736932799840528,0,0.0,0.0,-0.5715595660058268
45256,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45257,-0.9426899981828281,0,0.0,0.0,-0.6380111832103232
45258,-0.8212694637303899,0,0.0,0.0,-0.8973923954272054
45259,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45260,-0.8212694637303899,0,0.0,0.0,-1.1589336418184137
45261,-0.8212694637303899,0,0.0,0.0,-0.8973923954272054
45262,-0.9224532424407551,0,0.0,0.0,-1.4183740329968655
45263,-1.0236370211511203,0,0.0,0.0,-1.4204748882096214
45264,-1.0034002654090473,0,0.0,0.0,-1.1988317679250875
45265,-0.861742975214536,0,0.0,0.0,-1.0166866817757467
45266,-0.9831635096669742,0,0.0,0.0,-1.26513889520182
45267,-0.6391386620517326,0,0.0,0.0,0.27733927924398777
45268,-0.902216486698682,0,0.0,0.0,-0.9319506607003282
45269,-0.43677110463100227,0,0.0,0.0,-0.2654265942314809
45270,-0.6998489292779517,1,0.3333333333333333,0.0,-0.40797757766167164
45271,-0.881979730956609,0,0.0,0.0,-0.1865028034018773
45272,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45273,-0.19393003572612583,0,0.0,0.0,1.3485533683143733
45274,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45275,-0.1736932799840528,0,0.0,0.0,-0.5702624761299353
45276,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45277,-0.6998489292779517,0,0.0,0.0,-0.9039494720874207
45278,-0.902216486698682,0,0.0,0.0,-0.7304620785898669
45279,-0.43677110463100227,0,0.0,0.0,-0.32782709165253787
45280,-0.6998489292779517,1,0.3333333333333333,0.0,-0.4079775776616702
45281,-0.881979730956609,0,0.0,0.0,-0.37613911597642846
45282,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45283,-0.19393003572612583,0,0.0,0.0,1.5226956041370394
45284,-1.0641105326352662,0,0.0,0.0,-1.9393935712526347
45285,0.4738829037622843,1,1.0,0.0,0.5926016923624079
45286,-1.0236370211511203,0,0.0,0.0,-1.742856619586359
45287,-1.0236370211511203,0,0.0,0.0,-1.4204748882096214
45288,-0.8212694637303899,0,0.0,0.0,-0.8973923954272054
45289,-0.1736932799840528,0,0.0,0.0,-0.5715595660058268
45290,-0.881979730956609,0,0.0,0.0,-1.5855340325831864
45291,-0.881979730956609,0,0.0,0.0,-1.3243206788491877
45292,-0.43677110463100227,0,0.0,0.0,-0.32782709165253787
45293,-0.6998489292779517,1,0.3333333333333333,0.0,-0.4079775776616702
45294,-0.881979730956609,0,0.0,0.0,-0.826988782284979
45295,-1.0034002654090473,0,0.0,0.0,-1.1988317679250875
